"assay_name","samp_name","technical_rep_id","pcr_plate_id","well_id","detected_notDetected","estimatedNumberOfCopies","estimatedNumberOfCopies_unit","estimatedNumberOfCopies_method","estimatedNumberOfCopies_error","estimatedNumberOfCopies_error_type","quantificationCycle","rfu","positivePartitions","acceptedPartitions","partitionVolumeMicroliters","concentrationInReaction","concentrationInReaction_unit","volumeFilteredLiters","dilutionFactor","dataset"
"Tt_16S","52345-533",1,"dPB134","C02","detected",1100.71325536183,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",90,17665,0.00085,6.009227276,"copies/uL",3.002666667,1,"field survey"
"Tt_16S","52345-533",2,"dPB134","C06","detected",1147.74632236927,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",98,18449,0.00085,6.265999317,"copies/uL",3.002666667,1,"field survey"
"Tt_16S","52345-533",3,"dPB134","C10","detected",972.08263377309,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",87,19330,0.00085,5.30698204,"copies/uL",3.002666667,1,"field survey"
"Tt_16S","52345-534",1,"dPB133","A04","detected",845.052682182861,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",74,18820,0.00085,4.634985924,"copies/uL",3.016666667,1,"field survey"
"Tt_16S","52345-534",2,"dPB133","A08","detected",846.229202740743,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",70,17778,0.00085,4.641438961,"copies/uL",3.016666667,1,"field survey"
"Tt_16S","52345-534",3,"dPB133","A12","detected",402.554962430655,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",33,17600,0.00085,2.207952976,"copies/uL",3.016666667,1,"field survey"
"Tt_16S","52345-535",1,"dPB133","B04","detected",226.810447416926,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",20,18924,0.00085,1.244020939,"copies/uL",3.016666667,1,"field survey"
"Tt_16S","52345-535",2,"dPB133","B08","detected",305.983837739669,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",30,21045,0.00085,1.678274989,"copies/uL",3.016666667,1,"field survey"
"Tt_16S","52345-535",3,"dPB133","B12","detected",233.839555896812,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",22,20191,0.00085,1.282574534,"copies/uL",3.016666667,1,"field survey"
"Tt_16S","52345-536",1,"dPB134","A03","detected",237.835861730625,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",25,22559,0.00085,1.304493666,"copies/uL",3.016666667,1,"field survey"
"Tt_16S","52345-536",2,"dPB134","A07","detected",208.899131860894,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",21,21573,0.00085,1.145780087,"copies/uL",3.016666667,1,"field survey"
"Tt_16S","52345-536",3,"dPB134","A11","detected",253.954033132158,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",25,21128,0.00085,1.392899394,"copies/uL",3.016666667,1,"field survey"
"Tt_16S","52345-537",1,"dPB133","A02","notDetected",0,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",0,19342,0.00085,0,"copies/uL",3.007333333,1,"field survey"
"Tt_16S","52345-537",2,"dPB133","A06","detected",29.0019051572832,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",3,22258,0.00085,0.158578902,"copies/uL",3.007333333,1,"field survey"
"Tt_16S","52345-537",3,"dPB133","A10","detected",18.8687480125109,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",2,22807,0.00085,0.103172027,"copies/uL",3.007333333,1,"field survey"
"Tt_16S","52345-538",1,"dPB134","A01","detected",34.585206321724,"copies/L","ddPCR Poisson estimate from partition counts, converted to copies per litre of water using the volume filtered","missing: not provided","missing: not provided","not applicable: dPCR","missing: not provided",3,18665,0.00085,0.189107716,"copies/uL",3.007333333,1,"field survey"
