"scenario","true","med","mean","sd","lo95","hi95","lo50","hi50"
"actual rates",2.20689655172414,5.9181196258292,6.45732946831118,4.24686768487618,0.320061829086709,15.9722839274824,3.11820944709538,9.11364001010397
"actual rates",3.91379310344828,5.58724440352555,6.18341128116953,4.13657294742091,0.305974409652343,15.5953172508239,2.90140800453152,8.73197690581186
"actual rates",5.62068965517241,8.10081981862156,8.45478895377687,4.76188379573781,0.715998827456273,18.5602945986036,4.86082519919615,11.5334065083278
"actual rates",7.32758620689655,3.6757844396362,4.40718743285958,3.41442881880969,0.164464566433059,12.6022590244871,1.7291858055366,6.28859912332709
"actual rates",9.03448275862069,9.27587796155949,9.52108620313935,5.09648996203007,1.01491262670995,20.3262887853884,5.6451030240402,13.0166933801017
"actual rates",10.7413793103448,3.99995743928053,4.7503800844894,3.58723898374407,0.181544874979101,13.3804571056247,1.90669955618716,6.8436338788858
"actual rates",12.448275862069,9.56806993616973,9.91862414909694,5.22538280919796,1.098599278813,20.6988935273078,5.93234977437783,13.4942530619888
"actual rates",14.1551724137931,7.15340335502249,7.62434798516212,4.62642859329735,0.500343345811941,17.9161623448447,4.08555866691922,10.6273427627785
"actual rates",15.8620689655172,9.66613923379746,9.88291604040377,5.1755062955851,1.01253479810764,20.5226353775183,5.97498380791871,13.3893556980377
"actual rates",17.5689655172414,14.9625572163833,15.1262567259454,5.67385747872367,4.14959771161743,26.5012981134999,11.2122442156335,18.9168607635166
"actual rates",19.2758620689655,13.3558348228235,13.5347526795528,5.54692485972164,3.25531245085099,24.890934143485,9.76816111644203,17.3630578922778
"actual rates",20.9827586206897,23.9506237340037,23.9191094492029,5.71330278127447,12.8053824426874,35.2853765713682,20.1398179000734,27.6320038765282
"actual rates",22.6896551724138,21.2136087688888,21.3017072356669,5.79203557556255,10.2425546217578,32.6107925442136,17.3364141062193,25.2260758027615
"actual rates",24.3965517241379,22.1001971009079,22.2446257743002,5.85926964044198,10.9787232469616,34.0872923641451,18.2329569322073,26.2152682445439
"actual rates",26.1034482758621,24.676142847422,24.5887397545293,5.93799471975246,12.5552478347508,36.1094488804836,20.5755819584297,28.6136529510938
"actual rates",27.8103448275862,26.5259141135099,26.5654261769439,5.61981022297843,15.5504998750741,37.5751068439725,22.822120364301,30.3521388760273
"actual rates",29.5172413793103,36.3662052537023,36.2724627691744,5.92857959740404,24.7677319128175,47.9312439870291,32.2437026032295,40.1705747933604
"actual rates",31.2241379310345,27.5643184412217,27.510197320192,5.88708050694875,15.7978906769019,38.9136137756097,23.6247674632489,31.6056356336635
"actual rates",32.9310344827586,32.0844100524433,31.9890575877367,6.11996387703218,19.9473429349677,43.9785543823815,27.8420889773055,36.0928980015098
"actual rates",34.6379310344828,32.4336008361829,32.4227805779998,6.00851503696744,20.6448330145267,44.3220704304636,28.3932165439923,36.4829771332422
"actual rates",36.3448275862069,36.9567178052206,36.9320190787555,6.39253372623432,24.0980213239294,48.9986446563979,32.7403432129405,41.3177830779792
"actual rates",38.051724137931,30.2138054796189,30.2125263352931,6.39010413230015,17.894856816291,42.8030038079905,25.865188994374,34.4389446440842
"actual rates",39.7586206896552,33.1128973382981,33.1367267148925,6.55442246575488,20.5858197497194,45.8574513874974,28.5143396571825,37.6730957180396
"actual rates",41.4655172413793,45.2322018091771,45.1547667437113,7.52474338526314,30.1051596386675,59.690390409889,40.1744748321177,50.237473202098
"actual rates",43.1724137931034,37.8291167891198,37.7891269841831,6.72585134868397,24.7257457838612,51.0045467847629,33.3718758265122,42.2595138519311
"actual rates",44.8793103448276,39.6392402788227,39.68017403172,7.26116156685893,25.9830506535822,54.2828891038091,34.7644616354569,44.5080449026974
"actual rates",46.5862068965517,50.2217049428369,50.3053643156717,8.3028257191291,34.2832769196085,66.8368192374441,44.6184938099888,55.8904961101994
"actual rates",48.2931034482759,37.5667617903394,37.4358501989816,7.61357385957169,22.5541194352654,52.4466665598779,32.2580272228677,42.5745966511408
"actual rates",50,50.436580159878,50.5111070655807,10.5154392180606,30.5784231534085,71.9075699427606,43.3202129735809,57.1645720646436
