"parameter","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[2,2]",2.64118873863439,0.00277508562761001,0.292681860561487,2.05963788057608,2.44283312149974,2.64253663636506,2.83833662245274,3.21070433313762,11123.4328635903,1.00001225412677
"mu[2,3]",2.21486488404248,0.00286091831500236,0.301002056714893,1.61983202059222,2.01054014407346,2.21670609112317,2.41741331742618,2.80066033964833,11069.5001423074,1.00001871346617
"mu[2,4]",1.35604757014921,0.004195870884274,0.432159580747114,0.508941905994439,1.06699232566039,1.35427763574785,1.64746346829923,2.20181553177841,10608.2576668305,1.00006392463778
"mu[3,1]",2.70461841588526,0.00634677679214648,0.703630966865949,1.30196690359905,2.23595489694764,2.70619615469518,3.18352881538843,4.05454520769242,12290.8930336481,1.00029408882184
"mu[3,2]",0.0353425604633334,0.0120621813732599,1.1425715411511,-2.22419866287016,-0.731726564205821,0.030157673784708,0.803925300896913,2.26512773163721,8972.53365964681,1.00033503091607
"mu[3,3]",-0.437959981006434,0.0123044336076866,1.16297425155638,-2.73372863784396,-1.21734946846963,-0.44368533277004,0.339797710739869,1.83877483609349,8933.40337706173,1.00033340106855
"mu[3,4]",-1.94252725411361,0.0157658938813128,1.45820694358764,-4.82474023342469,-2.91403783026226,-1.94063887101925,-0.96422452904296,0.944420942517686,8554.62793731792,1.00031023711173
"mu[4,1]",3.18619614170853,0.00359908912675177,0.41162962918279,2.38291432015055,2.90399793929799,3.18645246895206,3.47078232426662,3.98996106287463,13080.6116650314,0.99979079010032
"mu[4,2]",1.23457854980418,0.00513639471787323,0.562614092282259,0.100541014554563,0.857972876674183,1.24823989464553,1.61594854708811,2.29774060187188,11997.8777056243,1.00001531881903
"mu[4,3]",0.786648505008247,0.00525304323246579,0.575092123252605,-0.375394165677045,0.403835351086793,0.799731920683615,1.17474856817219,1.87346638042911,11985.4098195092,1.00002076032259
"mu[4,4]",-0.369158728575516,0.00703160245975869,0.766896367828679,-1.90647855079107,-0.879745763203382,-0.357202452698175,0.153589257329803,1.1099395183206,11895.0081233189,1.00006578888879
"mu[5,1]",3.72124782567165,0.00237998051598873,0.242807030856838,3.25358901333159,3.55314363938163,3.72085393526912,3.88584448003141,4.19567429060588,10408.2020208219,1.00016527474158
"mu[5,2]",2.82222736640367,0.00187298276251675,0.194391339783882,2.43946753430282,2.69281394683971,2.82245789222092,2.95460150475179,3.2032927703197,10771.7499923851,0.999925474484069
"mu[5,3]",2.41151143674353,0.00192964191156286,0.199048732269448,2.01991302070142,2.2797819279817,2.41123626041457,2.54696982441276,2.80122488992979,10640.5820541592,0.999921097612125
"mu[5,4]",1.76723432305436,0.00294900306243537,0.287523753351865,1.19963100456425,1.57218463084862,1.76999124841889,1.96518113775878,2.32457337956965,9505.98251455726,0.999921857955436
"mu[6,1]",2.99589483236195,0.00391850468613611,0.411020506488839,2.1685044190426,2.71891445609159,2.9967545816484,3.27488538345054,3.79101703927132,11002.3698330928,0.99983379446276
"mu[6,2]",1.09175613324712,0.00465344658651701,0.510769235464618,0.057218052107116,0.74668783507496,1.10317235176208,1.44199436458394,2.06557038910269,12047.5848989787,0.999772852842901
"mu[6,3]",0.645504684115194,0.00476007754443559,0.52178187157009,-0.409974855850113,0.293432528319279,0.656659255540656,1.0056682195844,1.64440163248279,12015.723251507,0.999773382808894
"mu[6,4]",-0.487229254883149,0.00640029467453029,0.696248269717468,-1.9032823220135,-0.948433595385321,-0.467674667927609,-0.00377038559685738,0.810460676804381,11833.9115358217,0.999784498468931
"mu[7,1]",4.47360523178567,0.00318704555055949,0.353578818164023,3.7914091087176,4.23454618735213,4.46728606309682,4.71061665093043,5.16579927928357,12308.239501716,0.999788252151022
"mu[7,2]",3.54648648055687,0.00299538921194019,0.315410160424922,2.9310309897039,3.33267460404106,3.54678779371204,3.76130893336071,4.16121077086362,11087.7860186974,0.999877318837356
"mu[7,3]",3.13477714797008,0.00306257078897652,0.320638263164419,2.50498069680811,2.91807082867092,3.13485710165689,3.35288809311341,3.75916671400391,10961.20810061,0.999880347955428
"mu[7,4]",2.47684512091481,0.00422282543408259,0.421640791082144,1.63134165929728,2.19003634567527,2.48267715081042,2.76886277524214,3.28010997141541,9969.6286435058,0.999899945490464
"mu[8,1]",3.82048179268237,0.00628974309590461,0.652804354661548,2.52579047006853,3.38288568040675,3.81583895014247,4.25432688286386,5.10578969476399,10772.097396251,1.00012724184495
"mu[8,2]",1.82646822378951,0.00579119814938129,0.627568648335972,0.567228269934582,1.41253590149359,1.8355168762141,2.248897819677,3.03977804778676,11743.1775939865,0.999822355959747
"mu[8,3]",1.37703928761336,0.00586641054434509,0.634494892137776,0.106103912013649,0.958101829721001,1.38578704370986,1.80245716046027,2.60656051751821,11697.9929506749,0.999822361280769
"mu[8,4]",0.200628901579748,0.00738747889765948,0.768860311276202,-1.36481848051096,-0.303072432623687,0.210026520661756,0.727996543235624,1.68931383666695,10831.8435731424,0.999876199515392
"mu[9,1]",2.91908514862463,0.00477140157561921,0.517384386523935,1.88893771945361,2.571087631409,2.91912551608725,3.27006313330216,3.9301295609238,11758.0336257884,1.00021020712636
"mu[9,2]",0.0969996945193402,0.00752459086247305,0.867439418070664,-1.64957879309641,-0.47643437989078,0.111634359412857,0.702393897655032,1.72934505879443,13289.6188411001,1.00021725762391
"mu[9,3]",-0.381705364041667,0.00766719038895872,0.885426434811045,-2.16660157011675,-0.971423445555755,-0.365946078849422,0.235085249446984,1.2768132479536,13336.2114427401,1.00021266078274
"mu[9,4]",-1.96053344397792,0.00990530518236329,1.14758876892847,-4.28286199684809,-2.72888458874186,-1.93384114809623,-1.15466344622493,0.180811708324361,13422.6064602163,1.00015762032363
"mu[10,1]",3.97801653131631,0.00631262344204369,0.647318391213236,2.70226811739036,3.53879185584751,3.97827254625864,4.42031113715413,5.24107204336186,10515.1657952662,1.0006210225832
"mu[10,2]",2.05394949095211,0.00561469664729363,0.611736671312639,0.812528303169056,1.65167618958313,2.06996326239939,2.47017829671022,3.22530421600827,11870.7029424291,1.00023102290991
"mu[10,3]",1.6069934839578,0.00567213358001289,0.617987630945225,0.348113686635102,1.19928761412473,1.62099856423809,2.02754542144636,2.78897986320953,11870.4358524013,1.00022222450966
"mu[10,4]",0.464574978592582,0.00686789800294786,0.742789208557887,-1.04967006419686,-0.0200041035607261,0.476355574965881,0.969482613596467,1.89199134087868,11697.2426127955,1.00017151162478
"mu[11,1]",3.7577042204744,0.00218371105883085,0.224119767588092,3.32665041888997,3.60365982938698,3.75469606819009,3.90580430495371,4.20611429115699,10533.4340363836,0.999749953192316
"mu[11,2]",3.06623235805668,0.00179268912217874,0.188555360364721,2.67836948824899,2.94343017935966,3.06589350917924,3.19165812803496,3.43333053350856,11062.8697731538,0.999820502756238
"mu[11,3]",2.66285421902885,0.00184115306954428,0.192935530830895,2.26631205526894,2.53660417350723,2.66291984529177,2.79197178999056,3.03724273270463,10981.0693909291,0.999821437493631
"mu[11,4]",2.11943939665606,0.0027642895867113,0.274498728264317,1.5501588115252,1.9407244191493,2.12814306347943,2.31049153405449,2.62367140614695,9860.83286848783,0.999818998941029
"mu[12,1]",6.55501351852659,0.00210390616005786,0.23530692722243,6.09777938196427,6.39403241503212,6.55599187931206,6.71324250020236,7.01413512058974,12508.830129035,0.999863540656791
"mu[12,2]",5.35125906412236,0.00128319794747084,0.139710195410718,5.07964038772748,5.2539526858301,5.3507282708781,5.44744556846144,5.62093834899531,11854.1082177078,0.999981197492429
"mu[12,3]",4.92976939622071,0.00130405188015163,0.141789667750765,4.65396740054045,4.83115987603256,4.92908029307211,5.02719139936776,5.20432369910594,11822.2307133207,1.00000382998983
"mu[12,4]",4.13740085017357,0.00187559717988948,0.202421669342535,3.741066402534,4.00113348526585,4.13672486694894,4.27274942401886,4.53610766735288,11647.5574724428,1.00018293512956
"mu[13,1]",5.87404562904478,0.00218425446260874,0.232193589891183,5.42708543718234,5.71659140689863,5.87314566250321,6.03102206761347,6.33425300031288,11300.4044855925,0.99987278059521
"mu[13,2]",4.89537604751103,0.00123331962473051,0.134301908989431,4.63309730024132,4.80360892168946,4.89414009441354,4.98758733449423,5.16221982074671,11858.0448191544,1.00023946300866
"mu[13,3]",4.48184415767528,0.00125180990785147,0.13602706977877,4.21553075265782,4.38927298012224,4.48021815704639,4.5749335177669,4.74972804159438,11807.9339849549,1.00024523635901
"mu[13,4]",3.79885999852792,0.00179644479670532,0.192147070592655,3.42050331491937,3.66906252971722,3.79745542021143,3.92910508301368,4.17420573555142,11440.3624284966,1.00017107548175
"mu[14,1]",6.60180186732738,0.00233241236494084,0.232668865972518,6.14351033918064,6.44811994395519,6.60130370104815,6.75712247078948,7.06107841313093,9950.98051821453,1.00001844926439
"mu[14,2]",5.79232012550715,0.00120320245427546,0.13282560902465,5.53323175004405,5.7028650612526,5.79221215949274,5.88122913199746,6.05275464782999,12186.7026183824,1.00002781798442
"mu[14,3]",5.38476979837138,0.00121741187743068,0.1342766278546,5.12416507517813,5.29455665738206,5.38480441063989,5.47449324786561,5.64772349834396,12165.3829109988,1.00002882718274
