Extraction,Number,PCR_rep,Timepoint,Timepoint_name,Carboy,Time_sampled,Hours_base,Days_base,Component,Filter,Marker,Filt_mL,Control,Reaction,Dilution,ddPCR_copies_ul_well,Positive_droplets,Negative_droplets,copies_ul_extract,copies_mL
52345-764,764,1,3,8h,4,6:16,12,0.5,DNA,5,Cytb,1600,TRUE,Monoplex,1,0,0,20657,0,0
52345-764,764,2,3,8h,4,6:16,12,0.5,DNA,5,Cytb,1600,TRUE,Monoplex,1,0,0,20691,0,0
52345-764,764,1,3,8h,4,6:16,12,0.5,DNA,5,Dloop,1600,TRUE,Duplex,1,0,0,21986,0,0
52345-764,764,2,3,8h,4,6:16,12,0.5,DNA,5,Dloop,1600,TRUE,Duplex,1,0,0,18878,0,0
52345-764,764,3,3,8h,4,6:16,12,0.5,DNA,5,Dloop,1600,TRUE,Duplex,1,0,0,22084,0,0
52345-764,764,1,3,8h,4,6:16,12,0.5,RNA,5,16S,1600,TRUE,Monoplex,0.1,0,0,19770,0,0
52345-764,764,2,3,8h,4,6:16,12,0.5,RNA,5,16S,1600,TRUE,Monoplex,0.1,0,0,21898,0,0
52345-758,758,1,2,4h,2,1:48,7.5,0.31,RNA,5,Cytb,2150,FALSE,Monoplex,0.4,0,0,20408,0,0
52345-758,758,2,2,4h,2,1:48,7.5,0.31,RNA,5,Cytb,2150,FALSE,Monoplex,0.4,0,0,19116,0,0
52345-758,758,1,2,4h,2,1:48,7.5,0.31,DNA,5,Bridge,2150,FALSE,Duplex,1,0.28497843,5,20378,3.134762729,0.072901459
52345-758,758,2,2,4h,2,1:48,7.5,0.31,DNA,5,Bridge,2150,FALSE,Duplex,1,0.4525556,9,23236,4.978111602,0.115770037
52345-758,758,3,2,4h,2,1:48,7.5,0.31,DNA,5,Bridge,2150,FALSE,Duplex,1,0.46793366,8,19924,5.147270263,0.11970396
52345-758,758,1,2,4h,2,1:48,7.5,0.31,DNA,5,Dloop,2150,FALSE,Duplex,1,1.328268647,23,20360,14.61095512,0.339789654
52345-758,758,2,2,4h,2,1:48,7.5,0.31,DNA,5,Dloop,2150,FALSE,Duplex,1,1.570011854,31,23214,17.27013039,0.401630939
52345-758,758,3,2,4h,2,1:48,7.5,0.31,DNA,5,Dloop,2150,FALSE,Duplex,1,2.067663193,35,19897,22.74429512,0.528937096
52345-758,758,4,2,4h,2,1:48,7.5,0.31,DNA,5,16S,2150,FALSE,Duplex,1,2.279736996,45,23200,25.07710696,0.583188534
52345-758,758,5,2,4h,2,1:48,7.5,0.31,DNA,5,16S,2150,FALSE,Duplex,1,2.481632471,42,19890,27.29795718,0.634836214
52345-758,758,1,2,4h,2,1:48,7.5,0.31,DNA,5,16S,2150,FALSE,Monoplex,1,2.624615431,51,22835,28.87076974,0.67141325
52345-758,758,2,2,4h,2,1:48,7.5,0.31,DNA,5,16S,2150,FALSE,Monoplex,1,2.676459074,48,21075,29.44104981,0.684675577
52345-758,758,2,2,4h,2,1:48,7.5,0.31,DNA,5,Cytb,2150,FALSE,Monoplex,1,2.939088821,51,20389,32.32997703,0.751859931
52345-758,758,1,2,4h,2,1:48,7.5,0.31,DNA,5,Cytb,2150,FALSE,Monoplex,1,3.226880074,59,21481,35.49568081,0.825480949
52345-758,758,3,2,4h,2,1:48,7.5,0.31,DNA,5,16S,2150,FALSE,Duplex,1,3.236668825,56,20327,35.60335708,0.827985048
52345-758,758,2,2,4h,2,1:48,7.5,0.31,RNA,5,16S,2150,FALSE,Monoplex,0.1,0.457993418,8,20546,50.37927598,1.171611069
52345-758,758,1,2,4h,2,1:48,7.5,0.31,RNA,5,16S,2150,FALSE,Monoplex,0.1,0.538184176,10,21855,59.20025936,1.376750218
52345-758,758,1,2,4h,2,1:48,7.5,0.31,Carryover,5,Cytb,2150,FALSE,Monoplex,1,11.49672699,208,21181,126.4639969,2.941023183
52345-758,758,2,2,4h,2,1:48,7.5,0.31,Carryover,5,Cytb,2150,FALSE,Monoplex,1,13.23775005,225,19884,145.6152506,3.386401176
52345-759,759,1,2,4h,3,1:58,8,0.33,RNA,5,Cytb,2000,FALSE,Monoplex,0.4,0,0,21715,0,0
52345-759,759,2,2,4h,3,1:58,8,0.33,RNA,5,Cytb,2000,FALSE,Monoplex,0.4,0,0,20330,0,0
52345-759,759,2,2,4h,3,1:58,8,0.33,DNA,5,Bridge,2000,FALSE,Duplex,1,0.049782963,1,22426,0.547612593,0.013690315
